Gen,Counter,Points,Num Alive
0,800,80,7
1,800,93,8
2,800,107,8
3,800,110,8
4,800,89,8
5,800,92,8
6,800,92,8
7,800,72,5
8,800,72,5
9,800,49,7
10,800,62,7
11,800,62,6
12,800,83,6
13,800,79,6
14,800,90,8
15,800,90,8
16,800,79,6
17,800,85,7
18,800,85,7
19,800,93,8
20,800,63,4
21,800,65,7
22,800,85,7
23,800,63,4
24,800,92,6
25,800,83,6
26,800,84,7
27,800,79,6
28,800,105,8
29,800,105,8
30,800,105,8
31,800,72,5
32,800,77,5
33,800,44,4
34,800,44,4
35,800,72,5
36,800,79,5
37,800,111,7
38,800,93,6
39,800,35,3
40,800,92,6
41,800,65,5
42,800,50,5
43,800,43,3
44,800,43,3
45,800,49,3
46,800,83,5
47,800,66,5
48,800,58,5
49,800,63,4
50,800,58,5
51,800,74,5
52,800,79,6
53,800,78,6
54,800,57,4
55,800,30,1
56,800,52,3
57,800,52,3
58,800,74,5
59,800,46,4
60,800,84,5
61,800,60,3
62,800,51,3
63,800,51,3
64,800,51,3
65,800,41,3
66,800,96,7
67,800,10,1
68,800,70,5
69,800,79,6
70,800,77,5
71,800,36,5
72,800,95,8
73,800,75,7
74,800,98,8
75,800,51,4
76,800,83,7
77,800,103,7
78,800,46,3
79,800,74,5
80,800,70,5
81,800,47,4
82,800,47,4
83,603,0,0
84,800,83,6
85,800,108,8
86,800,89,5
87,800,85,7
88,800,76,5
89,800,74,4
90,800,78,5
91,800,78,5
92,800,65,5
93,800,90,5
94,800,16,1
95,800,76,4
96,800,90,5
97,800,76,4
98,800,85,6
99,800,114,8
100,800,77,5
101,800,68,4
102,800,118,8
103,800,58,4
104,800,63,6
105,800,58,4
106,800,64,5
107,800,102,5
108,800,102,5
109,800,105,7
110,800,57,5
111,800,57,5
112,800,94,8
113,800,109,8
114,800,74,5
115,800,92,6
116,800,47,4
117,800,35,3
118,800,104,7
119,800,35,3
120,800,67,4
121,800,67,4
122,800,93,6
123,800,93,6
124,800,45,3
125,800,90,6
126,800,47,3
127,800,47,3
128,800,51,3
129,800,51,3
130,800,89,6
131,800,91,7
132,800,101,5
133,800,86,5
134,800,65,4
135,800,114,7
136,800,99,7
137,800,106,7
138,800,104,6
139,762,120,8
140,800,85,6
141,800,106,7
142,800,73,5
143,800,100,6
144,800,115,8
145,800,113,8
146,800,81,5
147,800,103,7
148,800,107,6
149,800,69,4
150,800,78,6
151,800,69,4
152,800,115,7
153,800,107,6
154,800,104,6
155,800,115,7
156,800,111,7
157,800,111,7
158,800,115,7
159,800,83,5
160,800,83,5
161,800,102,6
162,800,83,5
163,800,96,6
164,800,100,6
165,800,83,5
166,800,100,6
167,800,39,3
168,800,39,3
169,800,83,5
170,800,100,6
171,800,100,6
172,800,100,6
173,800,83,5
174,745,106,6
175,800,83,5
176,800,119,8
177,800,94,6
178,800,53,3
179,800,53,3
180,800,82,5
181,800,82,5
182,800,65,5
183,800,65,5
184,800,83,5
185,800,29,2
186,800,115,7
187,800,69,4
188,800,90,6
189,800,60,4
190,800,70,4
191,800,98,6
192,681,102,6
193,800,53,3
194,800,105,7
195,800,98,6
196,800,86,6
197,800,98,6
198,800,91,6
199,800,91,6
200,800,75,5
201,800,91,6
202,800,112,7
203,800,75,5
204,800,83,6
205,800,97,6
206,800,58,3
207,800,57,3
208,800,57,3
209,800,47,2
210,800,86,6
211,800,85,5
212,800,85,5
213,800,21,1
214,800,29,2
215,800,66,4
216,800,57,3
217,800,32,6
218,800,47,3
219,800,92,6
220,800,91,6
221,628,87,6
